問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新,ソース,コンテンツ,データ状態
115A19,115,A,19,c,91.9,No,Yes,No,No,63歳の男性。呼吸困難と発熱を主訴に来院した。1ヵ月前から乾性咳嗽があり、息苦しさが出現、次第に悪化してきたため受診した。1週前から37°C台前半の発熱が続いている。既往歴に特記すべきことはない。喫煙歴やペット飼育歴はない。昨年、築50年の木造建築、日当たりの悪い家に転居し、初めての夏である。体温37.7°C。呼吸数24/分。SpO2 94%(room air)。胸部の聴診でわずかにfine cracklesを聴取する。胸部単純CTを次に示す。血液検査ではTrichosporon asahii特異抗体が陽性であった。 誤っているのはどれか。,,"a. 入院で改善する。
b. LDが高値である。
c. IgEが高値である。
d. KL-6が高値である。
e. 気管支肺胞洗浄液でリンパ球増多を認める。","115A19
63歳の男性。呼吸困難と発熱を主訴に来院した。1ヵ月前から乾性咳嗽があり、息苦しさが出現、次第に悪化してきたため受診した。1週前から37°C台前半の発熱が続いている。既往歴に特記すべきことはない。喫煙歴やペット飼育歴はない。昨年、築50年の木造建築、日当たりの悪い家に転居し、初めての夏である。体温37.7°C。呼吸数24/分。SpO2 94%(room air)。胸部の聴診でわずかにfine cracklesを聴取する。胸部単純CTを次に示す。血液検査ではTrichosporon asahii特異抗体が陽性であった。 誤っているのはどれか。

a 入院で改善する。
b LDが高値である。
c IgEが高値である。
d KL-6が高値である。
e 気管支肺胞洗浄液でリンパ球増多を認める。",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:c(正答率 91.9%)",notion_existing
115A2,115,A,2,a,96.4,No,No,No,No,S状結腸切除後の腹腔内ドレナージを目的としたドレーン先端の留置部位として適切なのはどれか。,,"a. Douglas窩
b. Morrison窩
c. Winslow孔
d. 左横隔膜下
e. 右横隔膜下","115A2
S状結腸切除後の腹腔内ドレナージを目的としたドレーン先端の留置部位として適切なのはどれか。

a Douglas窩
b Morrison窩
c Winslow孔
d 左横隔膜下
e 右横隔膜下",,2025年8月17日 21:57 (JST),base_data,"解答:
正解:a(正答率 96.4%)",notion_existing
115A20,115,A,20,c,74.3,No,Yes,No,No,"1ヵ月の男児。妊娠32週の胎児超音波検査で左腎盂拡大を指摘され、産科医からの紹介で母親に連れられて受診した。在胎38週、出生体重2,800gであった。腹部は平坦、軟で、肝・脾や腫瘤を触知しない。尿所見: 淡黄色で混濁なし、蛋白(-),潜血(-),白血球(-),亜硝酸(-)。両腎と膀胱の超音波像を次に示す。腹部・骨盤腔内に占拠性病変は認めなかった。以下に外来での医師と母との会話を示す。 医師: 「左の腎臓でつくられた尿が膀胱までスムーズに流れていないのかもしれませんね。おしっこはよくでていますか」 母: 「勢いよくでています。1日8回くらい、おむつを替えています」 医師: 「母乳はよく飲みますか」 母: 「2-3時間ごとによく飲みます。飲んだあとは、スヤスヤとよく寝てくれます」 医師: 「38°C以上の熱が出たことがありますか」 母: 「ありません」 医師: 「腎盂拡大については3ヵ月後に(ア)をしましょう」 (ア)にあてはまる検査はどれか。",,"a. 腹部造影CT
b. MR urography
c. 腹部超音波検査
d. 利尿レノグラム
e. 排尿時膀胱尿道造影","115A20
1ヵ月の男児。妊娠32週の胎児超音波検査で左腎盂拡大を指摘され、産科医からの紹介で母親に連れられて受診した。在胎38週、出生体重2,800gであった。腹部は平坦、軟で、肝・脾や腫瘤を触知しない。尿所見: 淡黄色で混濁なし、蛋白(-),潜血(-),白血球(-),亜硝酸(-)。両腎と膀胱の超音波像を次に示す。腹部・骨盤腔内に占拠性病変は認めなかった。以下に外来での医師と母との会話を示す。 医師: 「左の腎臓でつくられた尿が膀胱までスムーズに流れていないのかもしれませんね。おしっこはよくでていますか」 母: 「勢いよくでています。1日8回くらい、おむつを替えています」 医師: 「母乳はよく飲みますか」 母: 「2-3時間ごとによく飲みます。飲んだあとは、スヤスヤとよく寝てくれます」 医師: 「38°C以上の熱が出たことがありますか」 母: 「ありません」 医師: 「腎盂拡大については3ヵ月後に(ア)をしましょう」 (ア)にあてはまる検査はどれか。

a 腹部造影CT
b MR urography
c 腹部超音波検査
d 利尿レノグラム
e 排尿時膀胱尿道造影",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:c(正答率 74.3%)",notion_existing
115A21,115,A,21,a,78.6,No,Yes,No,No,"35歳の男性。発熱と全身の皮疹を主訴に来院した。8年前に尋常性乾癬と診断され副腎皮質ステロイド外用薬を塗布していた。7日前から39°C台の発熱とともに、急速に紅斑が全身に拡大したため受診した。受診時紅斑上に径5mmまでの小膿疱が多発し、集簇する。地図状舌を認める。血液所見: 白血球 16,000(桿状核好中球15%、分葉核好中球70%、好酸球3%、単球5%、リンパ球7%)。血液生化学所見: 血清アルブミン 3.0 g/dL.CRP 15.0 mg/dL。膿疱からの細菌培養検査は陰性、真菌鏡検とTzanck試験はいずれも陰性であった。皮膚生検でKogoj海綿状膿疱を認める。体幹の写真を次に示す。 最も考えられるのはどれか。",,"a. 膿疱性乾癬
b. 伝染性膿痂疹
c. 疱疹状皮膚炎
d. Kaposi水痘様発疹症
e. ブドウ球菌性熱傷様皮膚症候群","115A21
35歳の男性。発熱と全身の皮疹を主訴に来院した。8年前に尋常性乾癬と診断され副腎皮質ステロイド外用薬を塗布していた。7日前から39°C台の発熱とともに、急速に紅斑が全身に拡大したため受診した。受診時紅斑上に径5mmまでの小膿疱が多発し、集簇する。地図状舌を認める。血液所見: 白血球 16,000(桿状核好中球15%、分葉核好中球70%、好酸球3%、単球5%、リンパ球7%)。血液生化学所見: 血清アルブミン 3.0 g/dL.CRP 15.0 mg/dL。膿疱からの細菌培養検査は陰性、真菌鏡検とTzanck試験はいずれも陰性であった。皮膚生検でKogoj海綿状膿疱を認める。体幹の写真を次に示す。 最も考えられるのはどれか。

a 膿疱性乾癬
b 伝染性膿痂疹
c 疱疹状皮膚炎
d Kaposi水痘様発疹症
e ブドウ球菌性熱傷様皮膚症候群",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:a(正答率 78.6%)",notion_existing
115A22,115,A,22,c,99.6,No,Yes,No,No,77歳の女性。肺がん検診の低線量CTで左乳房腫瘤を指摘されたため受診した。マンモグラム(A)及び乳房超音波像(B)を次に示す。 次に行うのはどれか。,,"a. 造影CT
b. 造影MRI
c. 経皮的針生検
d. FDG-PET/CT
e. 骨シンチグラフィ","115A22
77歳の女性。肺がん検診の低線量CTで左乳房腫瘤を指摘されたため受診した。マンモグラム(A)及び乳房超音波像(B)を次に示す。 次に行うのはどれか。

a 造影CT
b 造影MRI
c 経皮的針生検
d FDG-PET/CT
e 骨シンチグラフィ",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:c(正答率 99.6%)",notion_existing
115A23,115,A,23,a,35.7,No,No,No,No,35歳の男性。テレビを見ている時に口をもぐもぐと動かす、舌を突き出すなどの動きがみられることを、家族に指摘されたと訴えて来院した。約6ヵ月前からその動きがみられるという。30歳ころ、幻覚妄想状態を呈して抗精神病薬を投与され、以後、服薬を継続中である。 この動きについて正しいのはどれか。,,"a. 睡眠中は消失する。
b. 抗Parkinson病薬が著効する。
c. 抗精神病薬に特異的な副作用である。
d. 口の動きに注意を向けさせると増悪する。
e. 片側上下肢を投げ出すような不随意運動を伴う。","115A23
35歳の男性。テレビを見ている時に口をもぐもぐと動かす、舌を突き出すなどの動きがみられることを、家族に指摘されたと訴えて来院した。約6ヵ月前からその動きがみられるという。30歳ころ、幻覚妄想状態を呈して抗精神病薬を投与され、以後、服薬を継続中である。 この動きについて正しいのはどれか。

a 睡眠中は消失する。
b 抗Parkinson病薬が著効する。
c 抗精神病薬に特異的な副作用である。
d 口の動きに注意を向けさせると増悪する。
e 片側上下肢を投げ出すような不随意運動を伴う。",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:a(正答率 35.7%)",notion_existing
115A24,115,A,24,d,81.3,No,No,No,No,55歳の男性。夜中の記憶がないことを主訴に妻とともに来院した。数年前に不眠に対して睡眠薬を処方されて以来、継続して服用し、仕事を続けていた。経営していたレストランに2週前に泥棒が入り、ひどく落ち込んでいる様子であった。昨日、午後7時に帰宅して夕食を済ませ、午後11時に就床した。翌日の午前1時頃、少しでも本人を励まそうとする友人から、カラオケに誘う電話があり、カラオケ店にタクシーで行き宴会に参加し、午前4時頃帰宅した。帰宅後約8時間睡眠をとって午後勤務についたが、夜中のことを全く覚えていない。友人によると普通に歌い飲食したとのことであった。アルコールは全く飲めず、当日も飲酒していない。妻の話によると2ヵ月前くらいから夜中に食事をしたり、コンビニエンスストアに行ったりしていることを、翌朝全く覚えてないことが3回あったという。 この患者で考えられる疾患はどれか。,,"a. 夜間せん妄
b. 一過性全健忘
c. 全生活史健忘
d. 睡眠薬による前向健忘
e. レム〈REM〉睡眠行動障害","115A24
55歳の男性。夜中の記憶がないことを主訴に妻とともに来院した。数年前に不眠に対して睡眠薬を処方されて以来、継続して服用し、仕事を続けていた。経営していたレストランに2週前に泥棒が入り、ひどく落ち込んでいる様子であった。昨日、午後7時に帰宅して夕食を済ませ、午後11時に就床した。翌日の午前1時頃、少しでも本人を励まそうとする友人から、カラオケに誘う電話があり、カラオケ店にタクシーで行き宴会に参加し、午前4時頃帰宅した。帰宅後約8時間睡眠をとって午後勤務についたが、夜中のことを全く覚えていない。友人によると普通に歌い飲食したとのことであった。アルコールは全く飲めず、当日も飲酒していない。妻の話によると2ヵ月前くらいから夜中に食事をしたり、コンビニエンスストアに行ったりしていることを、翌朝全く覚えてないことが3回あったという。 この患者で考えられる疾患はどれか。

a 夜間せん妄
b 一過性全健忘
c 全生活史健忘
d 睡眠薬による前向健忘
e レム〈REM〉睡眠行動障害",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:d(正答率 81.3%)",notion_existing
115A25,115,A,25,a,89.5,No,No,No,No,"4ヵ月の男児。鼻汁と咳嗽を主訴に両親に連れられて来院した。昨日から鼻汁、咳嗽および喘鳴が出現した。在胎36週1日、2,466gで出生した。低出生体重児のためNICUに3週間入院した。3歳の兄が1週前から鼻汁を認めていた。母乳栄養で哺乳は普段と変わらない。身長64.3cm、体重7,220g。体温36.8°C。心拍数120/分。呼吸数50/分。SpO2 98%(room air)。心音に異常を認めない。呼吸音は喘鳴を認めるが陥没呼吸は認めない。腹部は軽度膨隆を認める。毛細血管再充満時間の延長はない。鼻腔RSウイルス迅速検査は陽性だった。 対応として正しいのはどれか。",,"a. 経過観察
b. 抗菌薬投与
c. 抗ウイルス薬投与
d. ガンマグロブリン投与
e. ヒト化モノクローナル抗体投与","115A25
4ヵ月の男児。鼻汁と咳嗽を主訴に両親に連れられて来院した。昨日から鼻汁、咳嗽および喘鳴が出現した。在胎36週1日、2,466gで出生した。低出生体重児のためNICUに3週間入院した。3歳の兄が1週前から鼻汁を認めていた。母乳栄養で哺乳は普段と変わらない。身長64.3cm、体重7,220g。体温36.8°C。心拍数120/分。呼吸数50/分。SpO2 98%(room air)。心音に異常を認めない。呼吸音は喘鳴を認めるが陥没呼吸は認めない。腹部は軽度膨隆を認める。毛細血管再充満時間の延長はない。鼻腔RSウイルス迅速検査は陽性だった。 対応として正しいのはどれか。

a 経過観察
b 抗菌薬投与
c 抗ウイルス薬投与
d ガンマグロブリン投与
e ヒト化モノクローナル抗体投与",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:a(正答率 89.5%)",notion_existing
115A26,115,A,26,d,78.6,No,No,No,No,22歳の男性。むくみを主訴に来院した。2週前、急に顔面と下腿のむくみ及び排尿後の尿の細かい泡立ちに気付いた。むくみは次第に増悪し、この間に体重は約20kg増加した。5日前から食欲がなく食事量は半減し、下痢気味で、全身倦怠感が悪化している。一昨日から排尿回数が減少し、昨日は色が濃く泡立ちの強い尿が2回、いずれも少量出たのみで、本日は起床後10時間でまだ排尿がない。意識は清明。身長176cm、体重92kg。血圧110/70mmHg。脈拍 88/分、整。呼吸数16/分。顕著な両側眼瞼浮腫があり、四肢に左右差のない圧痕性浮腫を認める。 今後1週間以内に合併する可能性の高い病態はどれか。,,"a. 肺水腫
b. 気道閉塞
c. 出血傾向
d. 急性腎障害
e. 高血糖緊急症","115A26
22歳の男性。むくみを主訴に来院した。2週前、急に顔面と下腿のむくみ及び排尿後の尿の細かい泡立ちに気付いた。むくみは次第に増悪し、この間に体重は約20kg増加した。5日前から食欲がなく食事量は半減し、下痢気味で、全身倦怠感が悪化している。一昨日から排尿回数が減少し、昨日は色が濃く泡立ちの強い尿が2回、いずれも少量出たのみで、本日は起床後10時間でまだ排尿がない。意識は清明。身長176cm、体重92kg。血圧110/70mmHg。脈拍 88/分、整。呼吸数16/分。顕著な両側眼瞼浮腫があり、四肢に左右差のない圧痕性浮腫を認める。 今後1週間以内に合併する可能性の高い病態はどれか。

a 肺水腫
b 気道閉塞
c 出血傾向
d 急性腎障害
e 高血糖緊急症",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:d(正答率 78.6%)",notion_existing
115A27,115,A,27,a,77.7,No,Yes,No,No,"46歳の女性。息苦しさと全身倦怠感を主訴に来院した。半年前に手指と手首の関節痛および頰部の皮疹が出現し、全身性エリテマトーデス〈SLE〉の診断で副腎皮質ステロイドとヒドロキシクロロキンが導入された。その後、症状は軽快していたが、1週前から息苦しさ、全身倦怠感および前胸部の違和感が出現した。症状が増悪するため、本日夜8時に救急外来を受診した。体温37.8°C。脈拍 102/分、整。血圧100/72mmHg。SpO2 96%(room air)。頰部に紅斑を認める。両側の中指近位指節間関節と手関節の腫脹を認める。頸静脈怒張は吸気時に顕著となる。心音ではI音とII音の減弱を認める。呼吸音には異常を認めない。下腿に軽度の浮腫を認める。血液所見: 赤血球 346 万、Hb 10.8 g/dL、Ht 33 %、白血球 7,200、血小板 15 万。血液生化学所見: ALT 26 U/L、LD 160 U/L (基準120〜245)、クレアチニン 0.5 mg/dL、脳性ナトリウム利尿ペプチド〈BNP〉56pg/mL (基準18.4以下).CRP 3.8 mg/dL。収縮期血圧は呼気時に比べ吸気時に18mmHg低下する。胸部X線写真ではCTR 55%、肺野に異常を認めない。心電図では肢誘導に低電位を認める。心エコー図(A,B)を次に示す。 この患者の呼吸困難感の原因として最も考えられる病態はどれか。",,"a. 心外膜炎
b. 心内膜炎
c. 間質性肺炎
d. 肺血栓塞栓症
e. 肺動脈性肺高血圧症","115A27
46歳の女性。息苦しさと全身倦怠感を主訴に来院した。半年前に手指と手首の関節痛および頰部の皮疹が出現し、全身性エリテマトーデス〈SLE〉の診断で副腎皮質ステロイドとヒドロキシクロロキンが導入された。その後、症状は軽快していたが、1週前から息苦しさ、全身倦怠感および前胸部の違和感が出現した。症状が増悪するため、本日夜8時に救急外来を受診した。体温37.8°C。脈拍 102/分、整。血圧100/72mmHg。SpO2 96%(room air)。頰部に紅斑を認める。両側の中指近位指節間関節と手関節の腫脹を認める。頸静脈怒張は吸気時に顕著となる。心音ではI音とII音の減弱を認める。呼吸音には異常を認めない。下腿に軽度の浮腫を認める。血液所見: 赤血球 346 万、Hb 10.8 g/dL、Ht 33 %、白血球 7,200、血小板 15 万。血液生化学所見: ALT 26 U/L、LD 160 U/L (基準120〜245)、クレアチニン 0.5 mg/dL、脳性ナトリウム利尿ペプチド〈BNP〉56pg/mL (基準18.4以下).CRP 3.8 mg/dL。収縮期血圧は呼気時に比べ吸気時に18mmHg低下する。胸部X線写真ではCTR 55%、肺野に異常を認めない。心電図では肢誘導に低電位を認める。心エコー図(A,B)を次に示す。 この患者の呼吸困難感の原因として最も考えられる病態はどれか。

a 心外膜炎
b 心内膜炎
c 間質性肺炎
d 肺血栓塞栓症
e 肺動脈性肺高血圧症",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:a(正答率 77.7%)",notion_existing
115A28,115,A,28,e,74.6,No,Yes,No,No,72歳の女性。嗄声を主訴に来院した。20年前から声がかれて歌を歌えず、高い声を出せなかった。声質は悪化していないが、2ヵ月前から階段を上る時に息苦しくなることが数回あったため受診した。既往歴に特記すべきことはない。喫煙は40歳から10本/日。飲酒は同時期から週1〜2回、缶ビール(350mL)1本。身長153cm、体重56kg。体温36.3°C。脈拍 70/分、整。血圧136/66mmHg。呼吸数24/分。SpO2 97% (room air)。頸部に腫瘤を触知しない。尿検査、血液検査および胸部X線検査に異常を認めない。 次に示す喉頭内視鏡像(1〜5)の中で、この患者の内視鏡像として適切なのはどれか。,,"a. 1
b. 2
c. 3
d. 4
e. 5","115A28
72歳の女性。嗄声を主訴に来院した。20年前から声がかれて歌を歌えず、高い声を出せなかった。声質は悪化していないが、2ヵ月前から階段を上る時に息苦しくなることが数回あったため受診した。既往歴に特記すべきことはない。喫煙は40歳から10本/日。飲酒は同時期から週1〜2回、缶ビール(350mL)1本。身長153cm、体重56kg。体温36.3°C。脈拍 70/分、整。血圧136/66mmHg。呼吸数24/分。SpO2 97% (room air)。頸部に腫瘤を触知しない。尿検査、血液検査および胸部X線検査に異常を認めない。 次に示す喉頭内視鏡像(1〜5)の中で、この患者の内視鏡像として適切なのはどれか。

a 1
b 2
c 3
d 4
e 5",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:e(正答率 74.6%)",notion_existing
115A29,115,A,29,b,99.4,No,Yes,No,No,76歳の男性。3ヵ月前から続く左手の母指から環指のしびれを主訴に来院した。身長165cm、体重65kg。左母指から環指橈側にかけて感覚鈍麻を認める。握力は右26kg、左22kg。末梢神経伝導検査の結果を次に示す。 最も考えられるのはどれか。,,"a. 頸椎神経根症
b. 手根管症候群
c. 多発性硬化症
d. 肘部管症候群
e. 胸郭出口症候群","115A29
76歳の男性。3ヵ月前から続く左手の母指から環指のしびれを主訴に来院した。身長165cm、体重65kg。左母指から環指橈側にかけて感覚鈍麻を認める。握力は右26kg、左22kg。末梢神経伝導検査の結果を次に示す。 最も考えられるのはどれか。

a 頸椎神経根症
b 手根管症候群
c 多発性硬化症
d 肘部管症候群
e 胸郭出口症候群",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:b(正答率 99.4%)",notion_existing
115A3,115,A,3,c,77.7,No,No,No,No,腎性貧血について正しいのはどれか。,,"a. 網赤血球数は増加する。
b. 血中間接ビリルビン値は上昇する。
c. 平均赤血球ヘモグロビン濃度は正常範囲である。
d. 血中ヘモグロビン値は慢性腎臓病のG2期から低下する。
e. 血中エリスロポエチン濃度は発症初期から測定感度以下になる。","115A3
腎性貧血について正しいのはどれか。

a 網赤血球数は増加する。
b 血中間接ビリルビン値は上昇する。
c 平均赤血球ヘモグロビン濃度は正常範囲である。
d 血中ヘモグロビン値は慢性腎臓病のG2期から低下する。
e 血中エリスロポエチン濃度は発症初期から測定感度以下になる。",,2025年8月17日 21:57 (JST),base_data,"解答:
正解:c(正答率 77.7%)",notion_existing
115A30,115,A,30,b,98.6,No,Yes,No,No,"67歳の男性。陰茎の腫瘤を主訴に来院した。1年前から陰茎の腫瘤を自覚し、9ヵ月前から右鼠径の腫脹があり、その後疼痛も出てきた。下着に膿が付着し悪臭も伴うようになったため受診した。既往歴に特記すべきことはない。独身。喫煙は10本/日を40年間。飲酒は機会飲酒。身長170cm、体重59kg。体温36.5°C。脈拍 76/分、整。腹部は平坦、軟で、肝・脾を触知しない。亀頭部に腫瘤および右鼠径部に3cmの硬い腫瘤を認める。血液所見: 赤血球 463 万、Hb 13.4 g/dL、Ht 40 %、白血球 19,700、血小板 59 万。血液生化学所見: 総蛋白 8.1 g/dL、アルブミン 3.7 g/dL、AST 15 U/L、ALT 11 U/L、尿素窒素 14 mg/dL、クレアチニン 0.7 mg/dL、SCC 19.9ng/mL (基準1.5以下).CRP 2.3 mg/dL。患部の写真(A)及び骨盤MRIのT2強調像(B)を次に示す。 最も考えられる疾患はどれか。",,"a. 梅毒
b. 陰茎癌
c. 尿道癌
d. 乳房外Paget病
e. 尖圭コンジローマ","115A30
67歳の男性。陰茎の腫瘤を主訴に来院した。1年前から陰茎の腫瘤を自覚し、9ヵ月前から右鼠径の腫脹があり、その後疼痛も出てきた。下着に膿が付着し悪臭も伴うようになったため受診した。既往歴に特記すべきことはない。独身。喫煙は10本/日を40年間。飲酒は機会飲酒。身長170cm、体重59kg。体温36.5°C。脈拍 76/分、整。腹部は平坦、軟で、肝・脾を触知しない。亀頭部に腫瘤および右鼠径部に3cmの硬い腫瘤を認める。血液所見: 赤血球 463 万、Hb 13.4 g/dL、Ht 40 %、白血球 19,700、血小板 59 万。血液生化学所見: 総蛋白 8.1 g/dL、アルブミン 3.7 g/dL、AST 15 U/L、ALT 11 U/L、尿素窒素 14 mg/dL、クレアチニン 0.7 mg/dL、SCC 19.9ng/mL (基準1.5以下).CRP 2.3 mg/dL。患部の写真(A)及び骨盤MRIのT2強調像(B)を次に示す。 最も考えられる疾患はどれか。

a 梅毒
b 陰茎癌
c 尿道癌
d 乳房外Paget病
e 尖圭コンジローマ",画像問題,2025年8月17日 21:58 (JST),base_data,"解答:
正解:b(正答率 98.6%)",notion_existing
115A31,115,A,31,b,96,No,No,No,No,"72歳の女性。右眼の歪視と視力低下を主訴に来院した。約1ヵ月前から右眼が見えにくく、線がゆがんで見える。左眼にも同様の症状があるが、右眼に比べると軽度である。視力は右0.1(0.2×-0.75D),左0.7(0.9×-0.50D)。最も考えられる疾患はどれか。",,"a. 視神経炎
b. 加齢黄斑変性
c. 特発性黄斑円孔
d. 網膜中心静脈閉塞症
e. 網膜動脈分枝閉塞症","115A31
72歳の女性。右眼の歪視と視力低下を主訴に来院した。約1ヵ月前から右眼が見えにくく、線がゆがんで見える。左眼にも同様の症状があるが、右眼に比べると軽度である。視力は右0.1(0.2×-0.75D),左0.7(0.9×-0.50D)。最も考えられる疾患はどれか。

a 視神経炎
b 加齢黄斑変性
c 特発性黄斑円孔
d 網膜中心静脈閉塞症
e 網膜動脈分枝閉塞症",,2025年8月17日 21:58 (JST),base_data,"解答:
正解:b(正答率 96.0%)",notion_existing
