問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新
115C72,115,C,72,,,,,,,,,,"-74 基準値
次の文を読み，72〜74の問いに答えよ．
80歳の男性．胸痛のため救急車で搬入された．
現病歴：昨日午後7時ころ夕食中に急に胸部絞扼感を感じた．胸痛は約30分持続したが自然に軽快し，その日は就寝した．本日朝6時，起床時に昨晩と同様の胸痛が出現した．昨夜より症状が強く動けない状態が持続し，その後呼吸困難も生じてきたため救急車を要請し，午前7時に救急搬送された．
既往歴：10年前から高血圧症で通院加療中．
生活歴：妻と2人暮らし．喫煙は20本/日，60年間．飲酒は機会飲酒．
家族歴：特記すべきことはない．
現症：意識は清明．身長155cm，体重60kg．心拍数108/分，整．血圧106/86mmHgで明らかな左右差を認めない．呼吸数20/分．SpO2 94％（リザーバー付マスク10L/分酸素投与下）．冷汗を認める．眼瞼結膜と眼球結膜とに異常を認めない．頸静脈の怒張を認める．心音はⅢ音ギャロップを呈しており，心尖部を最強点とするLevine 3/6の収縮期雑音を聴取する．呼吸音は両側中下胸部に湿性ラ音を聴取する．腹部は平坦，軟で，肝・脾を触知しない．下腿に浮腫を認めない．
検査所見：赤血球463万，Hb 13.2g/dL，Ht 40％，白血球9,800，血小板28万，総ビリルビン0.5mg/dL，AST 118U/L，ALT 32U/L，LD 320U/L（基準120〜245），CK 346U/L（基準30〜140），尿素窒素12mg/dL，クレアチニン0.8mg/dL，血糖98mg/dL，Na 138mEq/L，K 4.4mEq/L，Cl 97mEq/L．心筋トロポニンT迅速検査陽性．心電図は心拍数108/分の洞調律で，広範な誘導でST低下を認めた．
[C072]
この患者の病態で正しいのはどれか．2つ選べ．
ａ　左房圧は上昇している．
93.4%
ｂ　僧帽弁閉鎖不全がある．
97.7%
ｃ　心拍出量は増加している．
2.6%
ｄ　中心静脈圧は低下している．
2.8%
ｅ　副交感神経の緊張状態である．
3.4%
[C073]
冠動脈造影像（A）を次に示す．血圧が低下したため，補助循環装置を挿入した．このときの胸部透視時の写真（B）を次に示す．
この患者について正しいのはどれか．2つ選べ．
ａ　冠動脈造影では冠動脈の中隔枝を介した側副血行が認められる．
8",,
115C73,115,C,73,,,,,,,,,,115C73: 画像あり -->,,
115D10,115,D,10,,,,,,,,,,"解答:
正解:d,e(正答率 88.2%)",,
115D11,115,D,11,,,,,,,,,,"解答:
正解:c,d(正答率 88.9%)",,
115D12,115,D,12,,,,,,,,,,"解答:
正解:b,c(正答率 21.8%)",,
115D13,115,D,13,,,,,,,,,,"解答:
正解:a,c(正答率 72.8%)",,
115D14,115,D,14,,,,,,,,,,"解答:
正解:b,e(正答率 89.3%)",,
115D15,115,D,15,,,,,,,,,,"解答:
正解:d,e(正答率 58.6%)",,
115D67,115,D,67,,,,,,,,,,"解答:
正解:b,c(正答率 92.9%)",,
115D68,115,D,68,,,,,,,,,,"解答:
正解:d,e(正答率 66.0%)",,
115D69,115,D,69,,,,,,,,,,"解答:
正解:b,c(正答率 30.9%)",,
115D70,115,D,70,,,,,,,,,,"解答:
正解:b,c(正答率 47.8%)",,
115D71,115,D,71,,,,,,,,,,"解答:
正解:b,d(正答率 27.5%)",,
115D72,115,D,72,,,,,,,,,,"解答:
正解:a,d(正答率 75.6%)",,
115D73,115,D,73,,,,,,,,,,"解答:
正解:a,b(正答率 45.7%)",,
115D74,115,D,74,,,,,,,,,,"解答:
正解:b,d(正答率 72.5%)",,
115F30,115,F,30,,,,,,,,,,"解答:
正解:b,d(正答率 81.9%)",,
115F31,115,F,31,,,,,,,,,,"解答:
正解:c,e(正答率 73.0%)",,
115F32,115,F,32,,,,,,,,,,"解答:
正解:a,e(正答率 98.5%)",,
115F33,115,F,33,,,,,,,,,,"解答:
正解:d,e(正答率 97.1%)",,
115F34,115,F,34,,,,,,,,,,"解答:
正解:b,c,d(正答率 84.6%)",,
115F54,115,F,54,,,,,,,,,,"解答:
正解:c,d(正答率 77.0%)",,
115F55,115,F,55,,,,,,,,,,"解答:
正解:c,d(正答率 45.4%)",,
115F56,115,F,56,,,,,,,,,,"解答:
正解:d,e(正答率 99.4%)",,
115F57,115,F,57,,,,,,,,,,"解答:
正解:b,c(正答率 61.8%)",,
115F58,115,F,58,,,,,,,,,,"解答:
正解:d,e(正答率 88.0%)",,
115F59,115,F,59,,,,,,,,,,"解答:
正解:a,b,e(正答率 21.1%)",,
115F61,115,F,61,,,,,,,,,,"115F61
対応として適切なのはどれか。3つ選べ。
a 試験開腹術
b 輸血の準備
c 下腿の筋膜切開
d 骨盤骨折に対する創外固定
e 破傷風トキソイドの筋肉内投与
================================================================================",,
115F72,115,F,72,,,,,,,,,,"-74 基準値
次の文を読み，72〜74の問いに答えよ．
42歳の男性．職場の健康診断で異常を指摘されて来院した．
現病歴：20歳代の頃は体重68kg程度であったが，32歳での結婚を機に徐々に増加し，特にこの3年で10kg増加した．現在の体重は過去最大である．
既往歴：特記すべきことはない．
生活歴：喫煙歴はない．飲酒はビール500mL/日．仕事は事務作業で通勤以外の運動習慣はない．
家族歴：父親が糖尿病，高血圧症，脳梗塞．
現症：意識は清明．身長173cm，体重82kg，腹囲98cm．脈拍68/分．血圧146/92mmHg．腹部は平坦，軟で，肝・脾は触知せず，皮膚線条は認めない．四肢に浮腫を認めない．皮膚の菲薄化を認めない．
検査所見：尿所見：蛋白（－），糖（－），ケトン体（－）．血液所見：赤血球465万，Hb 14.6g/dL，Ht 46％，白血球6,800，血小板28万．血液生化学所見：AST 38U/L，ALT 78U/L，γ-GT 52U/L（基準8〜50），尿素窒素19mg/dL，クレアチニン0.9mg/dL，尿酸6.8mg/dL，空腹時血糖116mg/dL，HbA1c 6.2％（基準4.6〜6.2），総コレステロール264mg/dL，トリグリセリド212mg/dL，HDLコレステロール34mg/dL，Na 141mEq/L，K 3.5mEq/L，Cl 98mEq/L．
[F072]
この患者について現時点で判断できる異常はどれか．3つ選べ．
ａ　糖尿病
0.8%
ｂ　高血圧症
98.5%
ｃ　高尿酸血症
2.0%
ｄ　脂質異常症
99.3%
ｅ　メタボリックシンドローム
99.5%
[F073]
この患者に対して生活習慣の改善の一環として食事指導を行うことにした．
正しい内容はどれか．
ただし，この患者の消費エネルギーは約2,400kcal/日であると仮定し，今後，3ヵ月で約3〜4kgの減量を目指すこととする．
ａ　総エネルギー量を2,100kcal/日とする．
88.9%
ｂ　炭水化物を総エネルギー量の30％とする．
2.6%
ｃ　蛋白質を200g/日とする．
3.1%
ｄ　脂質を150g/日とする．
5.2%
ｅ　食塩を10g/日とする．
0.1%
[F074]
この患者で増加しているのはどれか．
ａ　LDLのみ
17.9%
ｂ　HDLのみ
0.1",,
116A13,116,A,13,,,,,,,,,,"解答:
正解:b,e(正答率 85.5%)",,
116A14,116,A,14,,,,,,,,,,"解答:
正解:c,d(正答率 99.5%)",,
116A15,116,A,15,,,,,,,,,,"解答:
正解:c,e(正答率 55.1%)",,
116A65,116,A,65,,,,,,,,,,"解答:
正解:b,e(正答率 67.7%)",,
116A66,116,A,66,,,,,,,,,,"解答:
正解:a,e(正答率 81.4%)",,
116A67,116,A,67,,,,,,,,,,"解答:
正解:a,d(正答率 85.5%)",,
116A68,116,A,68,,,,,,,,,,"解答:
正解:d,e(正答率 61.7%)",,
116A69,116,A,69,,,,,,,,,,"解答:
正解:a,b(正答率 73.1%)",,
116A70,116,A,70,,,,,,,,,,"解答:
正解:b,e(正答率 38.3%)",,
116A71,116,A,71,,,,,,,,,,"解答:
正解:a,b,c,d(正答率 95.3%)",,
116A72,116,A,72,,,,,,,,,,"解答:
正解:a,b,d(正答率 83.8%)",,
116A73,116,A,73,,,,,,,,,,"解答:
正解:a,c,e(正答率 26.4%)",,
116A74,116,A,74,,,,,,,,,,"解答:
正解:a,b,d(正答率 89.7%)",,
116A75,116,A,75,,,,,,,,,,"解答:
正解:a,c,d(正答率 84.8%)",,
116C27,116,C,27,,,,,,,,,,"解答:
正解:b,c(正答率 90.0%)",,
116C28,116,C,28,,,,,,,,,,"解答:
正解:a,d(正答率 92.8%)",,
116C29,116,C,29,,,,,,,,,,"解答:
正解:c,d(正答率 27.5%)",,
116C30,116,C,30,,,,,,,,,,"解答:
正解:c,e(正答率 36.0%)",,
116C31,116,C,31,,,,,,,,,,"解答:
正解:b,d(正答率 80.5%)",,
116C32,116,C,32,,,,,,,,,,"解答:
正解:d,e(正答率 59.3%)",,
116C33,116,C,33,,,,,,,,,,"解答:
正解:b,c(正答率 88.1%)",,
116C34,116,C,34,,,,,,,,,,"解答:
正解:a,e(正答率 90.3%)",,
116C35,116,C,35,,,,,,,,,,"解答:
正解:b,c,e(正答率 76.5%)",,
116C56,116,C,56,,,,,,,,,,"解答:
正解:a,e(正答率 92.9%)",,
116C57,116,C,57,,,,,,,,,,"解答:
正解:b,c(正答率 38.9%)",,
116C58,116,C,58,,,,,,,,,,"解答:
正解:a,b(正答率 73.2%)",,
116C59,116,C,59,,,,,,,,,,"解答:
正解:c,e(正答率 49.6%)",,
116C68,116,C,68,,,,,,,,,,"116C68
病態に関連する可能性のある薬剤はどれか。2つ選べ。 C066
a NSAID
b スタチン
c スルホニル尿素薬
d ベンゾジアゼピン系睡眠薬
e アンジオテンシン変換酵素〈ACE〉阻害薬
================================================================================",,
116C69,116,C,69,,,,,,,,,,"-71 基準値
次の文を読み，69〜71の問いに答えよ．
56歳の女性．歩行困難と嚥下困難を主訴に来院した．
現病歴：2年前から左上肢の筋力低下を自覚した．1年前から右上肢にも同様の症状を自覚するようになり，自宅近くの診療所を受診したところ，病院の脳神経内科に紹介受診となった．入院精査の結果，筋萎縮性側索硬化症〈ALS〉の診断を受けた．その後，病院に通院していたが下肢筋力が低下して徐々に歩行困難となった．3ヵ月前からは，しゃべりにくさを自覚した．時々食事でむせることもあった．病院への通院が困難となり，在宅医療への移行を相談するために受診した．
既往歴：健診で高血圧を指摘されたことがあるが，内服治療はしていない．
生活歴：もともとパート勤務をしていたが発症後は退職した．夫と二人暮らし．長男，長女は独立し別居している．
家族歴：父が肺癌，母は子宮癌であった．
現症：意識は清明．身長152cm，体重38kg．体温36.6℃．脈拍76/分，整．血圧108/68mmHg．心音と呼吸音に異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．神経診察では①眼球運動は正常．顔面の感覚には異常を認めない．②咬筋および口輪筋の筋力は保たれている．③挺舌は可能だが，舌筋には軽度の萎縮とぴくぴくとした不規則な動きがみられる．発声時の咽頭挙上は不良．四肢は右側優位に筋萎縮，筋力低下がみられ，④立位保持は可能だが，歩行は支えがないと困難である．腱反射は上肢で減弱し，下肢は亢進．Babinski徴候は両側陽性．右肩関節は可動域制限があり他動的に動かすと疼痛を訴える．痛覚，深部感覚の異常はない．トイレヘの移動には介助が必要だが，⑤排泄は可能である．
検査所見：尿所見：蛋白（－），糖（－），潜血（－）．血液所見：赤血球462万，Hb 12.6g/dL，Ht 40％，白血球6,200，血小板24万．血液生化学所見：総蛋白6.6g/dL，アルブミン3.8g/dL，AST 26U/L，ALT 30U/L，LD 204U/L（基準120〜245），ALP 68U/L（基準38〜113），尿素窒素18mg/dL，クレアチニン0.2mg/dL，血糖76mg/dL，Na 136mEq/L，K 4.0mEq/L，Cl 98mEq/L．CRP 0.1mg/dL．動脈血ガス分析（自発呼吸，room air）：pH 7.",,
116C71,116,C,71,,,,,,,,,,"116C71
今後の在宅生活で必要なのはどれか。3つ選べ。 C069
a 口腔ケア
b 住宅改修
c 筋力増強訓練
d 自己導尿指導
e コミュニケーションの支援
================================================================================",,
116C72,116,C,72,,,,,,,,,,"-74 基準値
次の文を読み，72〜74の問いに答えよ．
87歳の女性．両側下腿浮腫を主訴に夫と息子夫婦とともに来院した．
現病歴：約半年前から両側下腿浮腫が出現し，自宅近くの医療機関で少量の利尿薬を処方されていた．3ヵ月前から下腿浮腫の悪化のため歩きにくくなり，労作時の息切れも感じるようになった．2週間前からは食欲低下も著しくなったため受診した．
既往歴：下腿浮腫に対して少量のループ利尿薬を処方されている．
生活歴：夫（94歳）と2人暮らし．喫煙歴と飲酒歴はない．
家族歴：妹が悪性リンパ腫であった．
現症：意識は清明．身長153cm，体重45kg．体温36.7℃．脈拍72/分，整．血圧152/70mmHg．呼吸数16/分．SpO2 98％（room air）．眼瞼結膜は貧血様である．頸静脈の怒張を認める．心音はLevine 2/6の全収縮期雑音を認める．呼吸音に異常を認めない．腹部は肋骨弓下に肝臓を1cm触知する．下腿浮腫を両側に認めるが熱感や圧痛はなく，圧迫により生じる圧痕は圧迫を解除すると戻る．四肢に明らかな麻痺を認めない．
検査所見：尿所見：蛋白（－），糖（－），潜血（－）．血液所見：赤血球350万，Hb 8.1g/dL，Ht 27％，白血球7,800．血液生化学所見：総蛋白5.1g/dL，アルブミン2.5g/dL，AST 40U/L，ALT 50U/L，LD 282U/L（基準120〜245），CK 70U/L（基準30〜140），尿素窒素19mg/dL，クレアチニン1.0mg/dL，血糖93mg/dL，HbA1c 5.6％（基準4.6〜6.2），総コレステロール160mg/dL，トリグリセリド166mg/dL，Na 142mEq/L，K 3.8mEq/L，Cl 108mEq/L，Ca 7.5mg/dL，Fe 10μg/dL，TSH 3.6（基準0.2〜4.0），FT3 2.4（基準2.3〜4.3），FT4 0.9（基準0.8〜2.2），BNP 110pg/mL（基準18.4以下）．CRP 0.2mg/dL．12誘導心電図で完全右脚ブロックを認める．胸部X線写真で心胸郭比50％，肺血管影の増強はなく，両側の肋骨横隔膜角の鈍化を認める．
[C072]
浮腫の原因で可能性が高いのはどれか．2つ選べ．
ａ　腎性
3.0%
ｂ　心性
90.0%
ｃ　炎症性
5.2",,
116D11,116,D,11,,,,,,,,,,"解答:
正解:c,e(正答率 54.5%)",,
116D12,116,D,12,,,,,,,,,,"解答:
正解:b,c,d(正答率 70.7%)",,
116D13,116,D,13,,,,,,,,,,"解答:
正解:a,b,c(正答率 52.4%)",,
116D14,116,D,14,,,,,,,,,,"解答:
正解:b,c,d(正答率 89.1%)",,
116D15,116,D,15,,,,,,,,,,"解答:
正解:a,b,d(正答率 83.9%)",,
116D66,116,D,66,,,,,,,,,,"解答:
正解:b,d(正答率 43.2%)",,
116D67,116,D,67,,,,,,,,,,"解答:
正解:c,e(正答率 99.3%)",,
116D68,116,D,68,,,,,,,,,,"解答:
正解:c,e(正答率 71.7%)",,
116D69,116,D,69,,,,,,,,,,"解答:
正解:c,d(正答率 81.2%)",,
116D70,116,D,70,,,,,,,,,,"解答:
正解:b,e(正答率 98.3%)",,
116D71,116,D,71,,,,,,,,,,"解答:
正解:a,b(正答率 94.9%)",,
116D72,116,D,72,,,,,,,,,,"解答:
正解:a,b,e(正答率 49.5%)",,
116D73,116,D,73,,,,,,,,,,"解答:
正解:a,b,e(正答率 98.7%)",,
116D74,116,D,74,,,,,,,,,,"解答:
正解:a,b,d(正答率 84.2%)",,
116D75,116,D,75,,,,,,,,,,"解答:
正解:a,b,e(正答率 72.9%)",,
116F27,116,F,27,,,,,,,,,,"解答:
正解:a,b(正答率 92.6%)",,
116F28,116,F,28,,,,,,,,,,"解答:
正解:c,e(正答率 70.3%)",,
116F29,116,F,29,,,,,,,,,,"解答:
正解:d,e(正答率 59.2%)",,
116F30,116,F,30,,,,,,,,,,"解答:
正解:d,e(正答率 34.7%)",,
116F31,116,F,31,,,,,,,,,,"解答:
正解:a,c(正答率 95.5%)",,
116F32,116,F,32,,,,,,,,,,"解答:
正解:b,c(正答率 69.5%)",,
116F33,116,F,33,,,,,,,,,,"解答:
正解:a,b,e(正答率 99.8%)",,
116F34,116,F,34,,,,,,,,,,"解答:
正解:a,b,c(正答率 91.2%)",,
116F55,116,F,55,,,,,,,,,,"解答:
正解:a,d(正答率 70.1%)",,
116F56,116,F,56,,,,,,,,,,"解答:
正解:a,c(正答率 97.1%)",,
116F57,116,F,57,,,,,,,,,,"解答:
正解:b,e(正答率 87.2%)",,
116F58,116,F,58,,,,,,,,,,"解答:
正解:b,d,e(正答率 86.8%)",,
116F64,116,F,64,,,,,,,,,,"116F64
入院し、経過をみた。翌日のバイタルサイン: 体温37.2°C。脈拍 128/分、整。血圧98/50mmHg。呼吸数20/分。 この時点で適切な対応はどれか。2つ選べ。 F062
a 血球数算定
b 脾臓摘出術
c 腹部超音波検査
d 上部消化管内視鏡検査
e 大動脈内バルーンパンピング〈IABP〉
================================================================================",,
116F67,116,F,67,,,,,,,,,,"116F67
弁膜症に対する緊急手術を行うこととなった。 手術までの治療として血行動態の改善が期待できるものはどれか。2つ選べ。 F065
a β遮断薬投与
b 血管拡張薬投与
c ジギタリス投与
d 体外式ペースメーカー留置
e 大動脈内バルーンパンピング〈IABP〉挿入
================================================================================",,
116F69,116,F,69,,,,,,,,,,"116F69
入院3日目も発熱は持続し、臥位での呼吸困難を訴えるようになった。足趾には疼痛を伴う発疹が出現した。 次に行うべき検査はどれか。2つ選べ。
a 頭部CT
b 血液培養
c 尿一般検査
d 呼吸機能検査
e 心エコー検査
================================================================================",,
116F71,116,F,71,,,,,,,,,,"-73 基準値
次の文を読み，71〜73の問いに答えよ．
65歳の女性．便潜血陽性を指摘され来院した．
現病歴：職場の健康診断で便潜血陽性を指摘され精査目的で受診した．便通異常の自覚はない．
既往歴：55歳時から高血圧症のため内服治療中であり，60歳時から糖尿病のためインスリン治療を受けている．
生活歴：事務職で在宅勤務をしている．
家族歴：父親が75歳時に大腸癌の手術を受けた．
現症：意識は清明．身長155cm，体重48kg．体温36.2℃．脈拍60/分，整．血圧120/84mmHg．呼吸数16/分．SpO2 96％（room air）．眼瞼結膜と眼球結膜に異常を認めない．頸静脈の怒張を認めない．頸部リンパ節を触知しない．心音と呼吸音に異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．四肢に浮腫を認めない．
検査所見：尿所見：蛋白（－），糖（－），ケトン体（－），潜血（－），沈渣に白血球を認めない．血液所見：赤血球468万，Hb 13.9g/dL，Ht 42％，白血球8,300（桿状核好中球2％，分葉核好中球66％，好酸球1％，好塩基球1％，単球6％，リンパ球24％），血小板21万．血液生化学所見：総蛋白7.5g/dL，アルブミン3.9g/dL，総ビリルビン0.9mg/dL，直接ビリルビン0.2mg/dL，AST 26U/L，ALT 28U/L，LD 104U/L（基準120〜245），ALP 102U/L（基準38〜113），γ-GT 25U/L（基準8〜50），アミラーゼ42U/L（基準37〜160），CK 42U/L（基準30〜140），尿素窒素12mg/dL，クレアチニン0.6mg/dL，尿酸6.9mg/dL，血糖98mg/dL，HbA1c 7.2％（基準4.6〜6.2），総コレステロール226mg/dL，トリグリセリド110mg/dL，HDLコレステロール64mg/dL，LDLコレステロール126mg/dL，Na 136mEq/L，K 4.2mEq/L，Cl 99mEq/L，Ca 9.2mg/dL，P 3.2mg/dL．CRP 0.1mg/dL．
経過：鎮静薬を投与して下部消化管内視鏡検査を行うこととした．
[F071]
この患者に行うべきなのはどれか．2つ選べ．
ａ　検査前日の腹部X線撮影
34.6%
ｂ　検査前日の便潜血検査
4.0%
ｃ　検査当",,
117A1,117,A,1,,,,,,,,,,"解答:
正解:a,b,e(正答率 91.5%)",,
117A10,117,A,10,,,,,,,,,,"解答:
正解:a,c,d(正答率 97.5%)",,
117A17,117,A,17,,,,,,,,,,"解答:
正解:c,e(正答率 74.9%)",,
117A2,117,A,2,,,,,,,,,,"解答:
正解:a,e(正答率 91.9%)",,
117A3,117,A,3,,,,,,,,,,"解答:
正解:a,c,d(正答率 85.1%)",,
117A43,117,A,43,,,,,,,,,,"解答:
正解:b,c(正答率 97.5%)",,
117A44,117,A,44,,,,,,,,,,"解答:
正解:a,c(正答率 71.7%)",,
117A45,117,A,45,,,,,,,,,,"解答:
正解:a,b(正答率 81.2%)",,
117A53,117,A,53,,,,,,,,,,"解答:
正解:d,e(正答率 98.0%)",,
117A58,117,A,58,,,,,,,,,,"解答:
正解:a,c,e(正答率 96.2%)",,
117A6,117,A,6,,,,,,,,,,"解答:
正解:a,b(正答率 96.7%)",,
117A64,117,A,64,,,,,,,,,,"解答:
正解:a,e(正答率 72.0%)",,
117A71,117,A,71,,,,,,,,,,"解答:
正解:a,e(正答率 53.4%)",,
117A73,117,A,73,,,,,,,,,,"解答:
正解:a,b(正答率 54.0%)",,
117C1,117,C,1,,,,,,,,,,"解答:
正解:b,c,e(正答率 78.1%)",,
117C13,117,C,13,,,,,,,,,,"解答:
正解:c,d(正答率 86.0%)",,
117C21,117,C,21,,,,,,,,,,"解答:
正解:b,d(正答率 99.8%)",,
117C33,117,C,33,,,,,,,,,,"解答:
正解:b,e(正答率 20.3%)",,
117C37,117,C,37,,,,,,,,,,"解答:
正解:a,c,e(正答率 91.1%)",,
117C38,117,C,38,,,,,,,,,,"解答:
正解:b,d,e(正答率 99.2%)",,
117C39,117,C,39,,,,,,,,,,"解答:
正解:a,e(正答率 92.5%)",,
117C58,117,C,58,,,,,,,,,,"解答:
正解:d,e(正答率 91.9%)",,
117C63,117,C,63,,,,,,,,,,"-65 基準値
次の文を読み，63〜65の問いに答えよ．
50歳の女性．発熱と強い動悸のため救急車で搬入された．
現病歴：6日前から咽頭痛と軽度の咳嗽が出現し，自宅近くの診療所で総合感冒薬の処方を受けた．3日前から発熱と前頸部痛が出現し，今朝から強い動悸も自覚したため娘が救急車を要請した．
既往歴：高血圧症でカルシウム拮抗薬を内服している．
生活歴：夫，大学生の娘と3人暮らし．喫煙は20歳から30歳まで10本/日．飲酒歴はない．
家族歴：父が高血圧症．
現症：意識は清明．身長158cm，体重52kg．体温37.8℃．心拍数118/分，整．血圧134/74mmHg．呼吸数20/分．SpO2 98％（room air）．眼瞼結膜と眼球結膜とに異常を認めない．口腔内と咽頭とに異常を認めない．甲状腺はびまん性に腫大しており，左葉に圧痛を認める．頸部リンパ節の腫大や頸静脈怒張を認めない．心音と呼吸音とに異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．四肢に浮腫を認めない．
検査所見：尿所見：蛋白（－），糖（－），潜血（－）．赤沈62mm/1時間．血液所見：赤血球362万，Hb 11.0g/dL，Ht 32％，白血球6,600，血小板18万．血液生化学所見：総蛋白7.2g/dL，アルブミン4.0g/dL，総ビリルビン0.8mg/dL，AST 44U/L，ALT 49U/L，LD 207U/L（基準120〜245），ALP 262U/L（基準38〜113），尿素窒素14mg/dL，クレアチニン0.8mg/dL，血糖98mg/dL，Na 141mEq/L，K 3.6mEq/L，Cl 104mEq/L，Ca 8.8mg/dL，TSH 0.08μU/mL（基準0.2〜4.0），FT3 9.82pg/mL（基準2.3〜4.3），FT4 3.92ng/dL（基準0.8〜2.2）．免疫血清学所見：CRP 9.2mg/dL，抗TSH受容体抗体陰性．胸部X線写真で心拡大や肺血管影の増強はなく，胸水貯留を認めない．心電図は洞性頻脈でST-T変化を認めない．
[C063]
この患者の病態に関連するもので適切なのはどれか．2つ選べ．
ａ　飲酒歴
0.0%
ｂ　喫煙歴
0.1%
ｃ　先行する上気道炎症状
99.8%
ｄ　圧痛のある甲状腺腫大
99.9%
ｅ　カルシウム拮抗薬の内服歴
0.2%
[C",,
117C65,117,C,65,,,,,,,,,,"117C65
治療として適切なのはどれか。3つ選べ。 C063
a 抗菌薬
b NSAID
c β遮断薬
d 抗甲状腺薬
e 副腎皮質ステロイド
================================================================================",,
117C67,117,C,67,,,,,,,,,,"117C67
血液培養2セットを採取した後に集中治療室に入室し、抗菌薬投与を開始した。血液培養は2セットとも陽性となり、入室3日目にStaphylococcus aureusと同定された。 この結果を受けて実施すべきなのはどれか。2つ選べ。
a 尿培養
b 心エコー検査
c 末梢神経伝導検査
d 血中エンドトキシン測定
e 血液培養再採取による陰性化の確認
================================================================================",,
