問題ID,年度,セクション,問題番号,ソース,コンテンツ
115A72,115,A,72,base_data,"解答:
正解:d,e(正答率 97.5%)"
115A73,115,A,73,base_data,"解答:
正解:a,b(正答率 47.1%)"
115A74,115,A,74,base_data,"解答:
正解:a,e(正答率 89.6%)"
115A75,115,A,75,base_data,"解答:
正解:b,c,d(正答率 82.3%)"
115A8,115,A,8,base_data,"解答:
正解:e(正答率 99.6%)"
115A9,115,A,9,base_data,"解答:
正解:e(正答率 92.7%)"
115B1,115,B,1,base_data,"解答:
正解:a(正答率 95.2%)"
115B10,115,B,10,base_data,"解答:
正解:b(正答率 97.0%)"
115B11,115,B,11,base_data,"解答:
正解:c(正答率 99.6%)"
115B12,115,B,12,base_data,"解答:
正解:c(正答率 99.3%)"
115B13,115,B,13,base_data,"解答:
正解:a(正答率 99.2%)"
115B14,115,B,14,base_data,"解答:
正解:d(正答率 58.6%)"
115B15,115,B,15,base_data,"解答:
正解:e(正答率 64.5%)"
115B16,115,B,16,base_data,"解答:
正解:e(正答率 99.3%)"
115B17,115,B,17,base_data,"解答:
正解:a(正答率 96.6%)"
115B18,115,B,18,base_data,"解答:
正解:c(正答率 93.8%)"
115B19,115,B,19,base_data,"解答:
正解:a(正答率 73.7%)"
115B2,115,B,2,base_data,"解答:
正解:e(正答率 99.9%)"
115B20,115,B,20,base_data,"解答:
正解:e(正答率 74.9%)"
115B21,115,B,21,base_data,"解答:
正解:d(正答率 99.6%)"
115B22,115,B,22,base_data,"解答:
正解:b(正答率 96.1%)"
115B23,115,B,23,base_data,"解答:
正解:d(正答率 77.0%)"
115B24,115,B,24,base_data,"解答:
正解:d(正答率 98.9%)"
115B25,115,B,25,base_data,"解答:
正解:b(正答率 96.0%)"
115B26,115,B,26,base_data,"解答:
正解:d(正答率 91.3%)"
115B27,115,B,27,base_data,"解答:
正解:e(正答率 96.3%)"
115B28,115,B,28,base_data,"解答:
正解:b(正答率 88.3%)"
115B29,115,B,29,base_data,"解答:
正解:d(正答率 94.0%)"
115B3,115,B,3,base_data,"解答:
正解:b(正答率 98.4%)"
115B30,115,B,30,base_data,"解答:
正解:c(正答率 96.0%)"
115B31,115,B,31,base_data,"解答:
正解:c(正答率 96.8%)"
115B32,115,B,32,base_data,"解答:
正解:b(正答率 97.8%)"
115B33,115,B,33,base_data,"解答:
正解:d(正答率 98.9%)"
115B34,115,B,34,base_data,"解答:
正解:a(正答率 99.9%)"
115B35,115,B,35,base_data,"解答:
正解:c(正答率 99.0%)"
115B36,115,B,36,base_data,"解答:
正解:a(正答率 73.7%)"
115B37,115,B,37,base_data,"解答:
正解:a(正答率 86.7%)"
115B38,115,B,38,base_data,"解答:
正解:d(正答率 98.6%)"
115B39,115,B,39,base_data,"解答:
正解:c(正答率 86.5%)"
115B4,115,B,4,base_data,"解答:
正解:e(正答率 72.0%)"
115B40,115,B,40,base_data,"解答:
正解:d(正答率 99.0%)"
115B41,115,B,41,base_data,"-42 基準値
次の文を読み，41，42の問いに答えよ．
59歳の男性．1時間持続する前胸部痛のために救急車で搬入された．
現病歴：1ヵ月前から階段昇降時に前胸部絞扼感を自覚していたが，安静にすると5分間ほどで消失した．本日早朝に前胸部絞扼感で覚醒した．しばらく我慢していたが次第に増強し，自力で歩けなくなったため救急搬送された．
既往歴：5年前から高血圧症で降圧薬を服用している．
生活歴：自営業．喫煙は20本/日を39年間．飲酒はビールを500mL/日．
現症：意識は清明．身長168cm，体重82kg．体温36.6℃．心拍数104/分，整．血圧160/94mmHg．呼吸数24/分．SpO2 96％（room air）．冷汗を伴い，四肢は冷たい．心雑音はないが，奔馬調律を聴取する．呼吸音に異常を認めない．腹部は平坦で，肝・脾を触知しない．下肢に浮腫を認めない．
検査所見：心電図では明らかなST-T変化を認めない．
急性心筋梗塞を疑い，心筋トロポニンTを測定することとした．発症からの時間経過から感度は60％，特異度は90％であるとする．この患者の検査前確率を80％と考えたが，結果は陰性であった．
[B041]
陰性結果にもかかわらず急性心筋梗塞である確率はどれか．
ａ　80％
0.4%
ｂ　72％
0.6%
ｃ　64％
98.0%
ｄ　54％
0.7%
ｅ　50％
0.3%
[B042]
検査の結果は陰性であったが，担当医は病歴や症状から急性冠症候群である可能性が否定できないと判断し，患者にここまでの状況を説明することとした．
担当医が患者にかける言葉の中で，説明内容に対する患者の理解を確認しているものはどれか．
ａ　「治療法について何かご希望はありますか」
0.0%
ｂ　「今までの説明で分からないことはありますか」
99.3%
ｃ　「今後についてご家族に話したほうが良いですか」
0.0%
ｄ　「なぜこの病気になってしまったとお考えですか」
0.5%
ｅ　「こちらの病院で検査と治療を受けるのでよろしいでしょうか」
0.1%
リトライ
[掲載頁：QB2026 Z-593]
B041
解答:
正解:c(正答率 98.0%)
結果:
B042
解答:
正解:b(正答率 99.3%)"
115B42,115,B,42,web_display_added,"115B42
検査の結果は陰性であったが、担当医は病歴や症状から急性冠症候群である可能性が否定できないと判断し、患者にここまでの状況を説明することとした。 担当医が患者にかける言葉の中で、説明内容に対する患者の理解を確認しているものはどれか。 B041
a 「治療法について何かご希望はありますか」
b 「今までの説明で分からないことはありますか」
c 「今後についてご家族に話したほうが良いですか」
d 「なぜこの病気になってしまったとお考えですか」
e 「こちらの病院で検査と治療を受けるのでよろしいでしょうか」
================================================================================"
115B43,115,B,43,base_data,"-44 基準値
次の文を読み，43，44の問いに答えよ．
36歳の女性．頭痛を主訴に来院した．
現病歴：本日午前7時頃から視界にきらきらした点が現れ，その後に頭痛，悪心が出現したため，同日昼に病院を受診した．頭痛は徐々に出現し，増悪はしていない．21歳時から年に数回同様の頭痛を経験しており，頭痛は毎回1日で改善する．今回よりも強い頭痛を経験したことがあるという．
既往歴：5歳時に急性虫垂炎で手術．
生活歴：喫煙歴はない．飲酒は機会飲酒．
家族歴：母が頭痛持ちであった．
現症：意識は清明．身長160cm，体重50kg．体温36.5℃．脈拍72/分，整．血圧126/76mmHg．呼吸数12/分．SpO2 98％（room air）．眼瞼結膜に貧血を認めない．瞳孔は左右差なく，対光反射は迅速．眼球運動に異常は認めない．心音と呼吸音とに異常を認めない．項部硬直を認めない．四肢の筋力は保たれており，感覚障害も認めない．四肢の腱反射は正常であり，病的反射は認めない．
検査所見：血液所見：赤血球372万，Hb 12.2g/dL，Ht 40％，白血球6,800，血小板16万．血液生化学所見：AST 29U/L，ALT 21U/L，LD 171U/L（基準120〜245），ALP 350U/L（基準115〜359），尿素窒素10mg/dL，クレアチニン0.5mg/dL，Na 135mEq/L，K 4.2mEq/L，Cl 98mEq/L．CRP 0.1mg/dL．
頭痛に関する文献を調べると，「突然発症である」，「増悪している」，「これまで経験した中で最悪の頭痛である」の3項目について，該当項目数に応じた重篤な原因による頭痛の尤度比が以下のように掲載されていた．
該当項目数
重篤な原因による頭痛の尤度比
0
0.1
1
2.1
2
9.1
3
12.5
[B043]
この患者が重篤な原因による頭痛を起こしている可能性について，事前確率と比べた事後確率の変化として適切なのはどれか．
ａ　高くなる．
4.3%
ｂ　低くなる．
85.3%
ｃ　変化しない．
0.5%
ｄ　計算できない．
3.3%
ｅ　事前オッズにより異なる．
6.6%
[B044]
この頭痛の特徴はどれか．
ａ　男性に多い．
0.3%
ｂ　高齢者に多い．
0.0%
ｃ　光過敏を伴う．
98.9%
ｄ　NSAIDは無効である．"
115B44,115,B,44,web_display_added,"115B44
この頭痛の特徴はどれか。 B043
a 男性に多い。
b 高齢者に多い。
c 光過敏を伴う。
d NSAIDは無効である。
e 動き回ると痛みが軽減する。
================================================================================"
115B45,115,B,45,base_data,"-46 基準値
次の文を読み，45，46の問いに答えよ．
43歳の男性．熱傷のため救急車で搬入された．
現病歴：揚げ物の調理中に着衣に着火し，職場の同僚が救急要請した．
既往歴：高血圧症と脂質異常症について食事療法中．
生活歴：飲食店の調理場で働いている．喫煙は10本/日を10年間，飲酒はビールを350mL/日．妻と2人暮らし．
家族歴：両親が高血圧症．
現症：意識レベルはJCSⅡ-10．身長170cm，体重70kg．体温37.1℃．心拍数90/分，整．血圧90/60mmHg．呼吸数36/分．SpO2 93％（リザーバー付マスク10L/分酸素投与下）．頭髪の前面と眉毛が焦げている．顔面，両上肢および胸腹部に，38％TBSA〈total body surface area〉のⅡ〜Ⅲ度熱傷を認める．口腔と咽頭の粘膜には煤が付着していた．嗄声が認められる．
検査所見：血液所見：赤血球550万，Hb 17.0g/dL，Ht 49％，白血球7,200，血小板30万．血液生化学所見：総蛋白6.1g/dL，AST 45U/L，ALT 17U/L，LD 499U/L（基準120〜245），尿素窒素22mg/dL，クレアチニン0.5mg/dL，Na 132mEq/L，K 4.4mEq/L，Cl 99mEq/L．
[B045]
搬入時の輸液として適切なのはどれか．
ａ　10％食塩液
0.3%
ｂ　新鮮凍結血漿
0.1%
ｃ　5％ブドウ糖液
0.1%
ｄ　乳酸リンゲル液
99.4%
ｅ　25％アルブミン液
0.2%
[B046]
気道熱傷と診断し，気管挿管を行った．
換気を行った際，気管内に正しく挿管が行われていないと判断されるものはどれか．
ａ　呼気にCO2が検出される．
0.3%
ｂ　胸郭の動きが左右対称である．
2.8%
ｃ　心窩部で送気音が聴取される．
96.0%
ｄ　両側肺野で同等の呼吸音が聴取される．
0.1%
ｅ　気管チューブ内壁に呼気時の曇りがみられる．
1.0%
リトライ
[掲載頁：QB2026 Z-630]
B045
解答:
正解:d(正答率 99.4%)
結果:
B046
解答:
正解:c(正答率 96.0%)"
115B46,115,B,46,web_display_added,"115B46
気道熱傷と診断し、気管挿管を行った。 換気を行った際、気管内に正しく挿管が行われていないと判断されるものはどれか。 B045
a 呼気にCO2が検出される。
b 胸郭の動きが左右対称である。
c 心窩部で送気音が聴取される。
d 両側肺野で同等の呼吸音が聴取される。
e 気管チューブ内壁に呼気時の曇りがみられる。
================================================================================"
115B47,115,B,47,base_data,"-48 基準値
次の文を読み，47，48の問いに答えよ．
37歳の女性．全身倦怠感と頭痛を主訴に来院した．
現病歴：半年前から倦怠感を自覚していた．3ヵ月前から頭痛も出現するようになった．1ヵ月前からは起きた時にも強い全身倦怠感があるため，仕事を休むようになった．頭痛の程度は軽いが，2ヵ月前に脇から出てくる自転車に気付かずに接触し，転倒したことがあった．
[B047]
さらに情報を集めるとき，システムレビューに相当する質問はどれか．
ａ　「血の繋がった方で，何かご病気をされた方はいますか」
1.3%
ｂ　「ご自分ではどのような病気を心配されていますか」
3.7%
ｃ　「これまでに大きな病気をしたことはありますか」
4.9%
ｄ　「頭痛はどのような痛みですか」
12.5%
ｅ　「食欲や睡眠はいかがですか」
77.6%
[B048]
さらに医療面接と診察を進めた．
現病歴：頭痛は眼の奥が重く痛むようなものである．3ヵ月前から無月経になっている．食欲も落ちており，体重は半年で3kg低下している．癌なのではないかと心配している．睡眠障害はない．3ヵ月前から便秘が悪化している．
既往歴：特記すべきことはない．
生活歴：会社員．夫と子どもと3人暮らし．喫煙歴と飲酒歴はない．
家族歴：特記すべきことはない．
現症：意識は清明．身長153cm，体重48.2kg．脈拍72/分，整．血圧98/56mmHg．呼吸数16/分．眼瞼結膜と眼球結膜とに異常を認めない．甲状腺腫を認めない．胸部では乳頭の圧迫で白色乳汁分泌を認める．腹部に異常を認めない．両耳側半盲を認める．
検査所見：血液所見：赤血球357万，Hb 11.1g/dL，Ht 34％，白血球4,200，血小板18万．血液生化学所見：AST 21U/L，ALT 14U/L，LD 146U/L（基準120〜245），尿素窒素15mg/dL，クレアチニン0.7mg/dL，血糖78mg/dL，Na 131mEq/L，K 4.4mEq/L，Cl 97mEq/L．内分泌検査所見：ACTH 9pg/mL（基準60以下），コルチゾール1.9μg/dL（基準5.2〜12.6），TSH 0.76μU/mL（基準0.500〜5.00），FT3 2.27pg/mL（基準2.30〜4.30），FT4 0.51ng/dL（基準0.90〜1.70），LH 0.3m"
115B48,115,B,48,web_display_added,"115B48
さらに医療面接と診察を進めた。 現病歴: 頭痛は眼の奥が重く痛むようなものである。3ヵ月前から無月経になっている。食欲も落ちており、体重は半年で3kg低下している。癌なのではないかと心配している。睡眠障害はない。3ヵ月前から便秘が悪化している。 既往歴: 特記すべきことはない。 生活歴: 会社員。夫と子どもと3人暮らし。喫煙歴と飲酒歴はない。 家族歴: 特記すべきことはない。 現症: 意識は清明。身長153cm、体重48.2kg。脈拍 72/分、整。血圧98/56mmHg。呼吸数16/分。眼瞼結膜と眼球結膜とに異常を認めない。甲状腺腫を認めない。胸部では乳頭の圧迫で白色乳汁分泌を認める。腹部に異常を認めない。両耳側半盲を認める。 検査所見: 血液所見: 赤血球 357 万、Hb 11.1 g/dL、Ht 34 %、白血球 4,200、血小板 18 万。血液生化学所見: AST 21 U/L、ALT 14 U/L、LD 146 U/L (基準120〜245)、尿素窒素 15 mg/dL、クレアチニン 0.7 mg/dL、血糖 78 mg/dL、Na 131 mEq/L、K 4.4 mEq/L、Cl 97 mEq/L。内分泌検査所見: ACTH 9pg/mL (基準60以下)、コルチゾール1.9μg/dL(基準5.2〜12.6),TSH 0.76μU/mL(基準0.500〜5.00),FT3 2.27pg/mL (基準2.30〜4.30)、FT4 0.51ng/dL (基準0.90〜1.70)、LH 0.3mIU/mL (基準1.8〜7.6)、FSH 4.4mIU/mL (基準5.2〜14.4)、エストラジオール<10pg/mL (基準11〜230)、プロゲステロン0.2ng/mL (基準0.5以下)、プロラクチン198ng/mL (基準15以下)。頭部造影MRIで下垂体腺腫を認める。 治療で誤っているのはどれか。 B047
a 薬物療法で腫瘍の縮小が期待できる。
b 発熱時は副腎皮質ステロイド補充を減量する。
c 手術を行う場合、下垂体機能評価を事前に行う。
d ホルモン補充は副腎皮質ステロイドから開始する。
e 副腎皮質ステロイド補充開始後は尿崩症の出現に注意する。
==========================================="
115B49,115,B,49,base_data,"-50 基準値
次の文を読み，49，50の問いに答えよ．
52歳の男性．腹部膨満感を主訴に来院した．
現病歴：3週前から腹部膨満感を自覚するようになった．食欲はあるがすぐに満腹を感じ，食事摂取量が減っている．腹痛や悪心はない．便通は毎日あり，便の性状は以前と変わっていない．1ヵ月で体重が1kg減少した．
既往歴：特記すべきことはない．
生活歴：会社員で事務職．喫煙歴はない．飲酒は機会飲酒．
家族歴：父が高血圧症．母が糖尿病．
現症：意識は清明．身長174cm，体重67kg．体温36.3℃．脈拍76/分，整．血圧124/78mmHg．呼吸数18/分．SpO2 98％（room air）．眼瞼結膜と眼球結膜に異常を認めない．心音と呼吸音とに異常を認めない．腹部はやや膨隆し，右肋骨弓下に肝を1cm，左肋骨弓下に脾を2cm触知する．臍左側に径8cmの弾性硬の無痛性腫瘤を触知し，可動性や呼吸性移動や拍動を認めない．両側頸部と鼠径部に径2〜3cmのリンパ節を複数触知する．いずれも弾性硬で可動性があり，圧痛はない．下腿に浮腫を認めない．
検査所見：尿所見：蛋白（－），潜血（－）．血液所見：赤血球452万，Hb 14.5g/dL，Ht 41％，白血球7,200（好中球68％，好酸球2％，好塩基球0％，単球4％，リンパ球26％），血小板37万．血液生化学所見：総蛋白6.5g/dL，アルブミン4.0g/dL，総ビリルビン0.3mg/dL，AST 18U/L，ALT 16U/L，LD 765U/L（基準120〜245），ALP 221U/L（基準115〜359），γ-GT 28U/L（基準8〜50），尿素窒素32mg/dL，クレアチニン0.6mg/dL，血糖98mg/dL，CEA 3ng/mL（基準5以下），CA19-9 12U/mL（基準37以下）．免疫血清学所見：CRP 0.1mg/dL，可溶性IL-2受容体5,920U/mL（基準157〜474）．
[B049]
この患者でみられる身体所見はどれか．
ａ　反跳痛
0.2%
ｂ　腸雑音の亢進
4.1%
ｃ　腹壁静脈の怒張
3.5%
ｄ　Traube三角の濁音
91.9%
ｅ　肋骨脊柱角の叩打痛
0.4%
[B050]
胸腹部CTで後腹膜，縦隔などにも腫瘤を認めた．
今後の治療方針を確定するために最も重要な検査はどれか．
ａ　腹部MRI"
115B5,115,B,5,base_data,"解答:
正解:a(正答率 99.5%)"
115B50,115,B,50,web_display_added,"115B50
胸腹部CTで後腹膜、縦隔などにも腫瘤を認めた。 今後の治療方針を確定するために最も重要な検査はどれか。 B049
a 腹部MRI
b FDG-PET
c 腹部血管造影検査
d 表在リンパ節からの組織診
e 後腹膜腫瘤からのCTガイド下穿刺吸引細胞診
================================================================================"
115B6,115,B,6,base_data,"解答:
正解:a(正答率 78.3%)"
115B7,115,B,7,base_data,"解答:
正解:d(正答率 93.2%)"
115B8,115,B,8,base_data,"解答:
正解:b(正答率 98.6%)"
115B9,115,B,9,base_data,"解答:
正解:d(正答率 89.3%)"
115C1,115,C,1,base_data,"解答:
正解:c(正答率 89.4%)"
115C10,115,C,10,base_data,"解答:
正解:c(正答率 72.0%)"
115C11,115,C,11,base_data,"解答:
正解:e(正答率 98.2%)"
115C12,115,C,12,base_data,"解答:
正解:a(正答率 32.9%)"
115C13,115,C,13,base_data,"解答:
正解:b(正答率 62.5%)"
115C14,115,C,14,base_data,"解答:
正解:d(正答率 30.0%)"
115C15,115,C,15,base_data,"解答:
正解:e(正答率 53.2%)"
115C16,115,C,16,base_data,"解答:
正解:c(正答率 62.8%)"
115C17,115,C,17,base_data,"解答:
正解:e(正答率 58.7%)"
115C18,115,C,18,base_data,"解答:
正解:c(正答率 58.3%)"
115C19,115,C,19,base_data,"解答:
正解:c(正答率 87.9%)"
115C2,115,C,2,base_data,"解答:
正解:a(正答率 79.2%)"
115C20,115,C,20,base_data,"解答:
正解:b(正答率 98.6%)"
115C21,115,C,21,base_data,"解答:
正解:d(正答率 98.8%)"
115C22,115,C,22,base_data,"解答:
正解:b(正答率 91.2%)"
115C23,115,C,23,base_data,"解答:
正解:d(正答率 97.2%)"
115C24,115,C,24,base_data,"解答:
正解:c(正答率 50.8%)"
115C25,115,C,25,base_data,"解答:
正解:b(正答率 97.4%)"
115C26,115,C,26,base_data,"解答:
正解:b,c(正答率 85.2%)"
115C27,115,C,27,base_data,"解答:
正解:a,e(正答率 60.6%)"
115C28,115,C,28,base_data,"解答:
正解:a,e(正答率 62.1%)"
115C29,115,C,29,base_data,"解答:
正解:a,c(正答率 94.6%)"
115C3,115,C,3,base_data,"解答:
正解:a(正答率 96.5%)"
115C30,115,C,30,base_data,"解答:
正解:d,e(正答率 93.2%)"
115C31,115,C,31,base_data,"解答:
正解:c,d(正答率 92.0%)"
115C32,115,C,32,base_data,"解答:
正解:a,e(正答率 85.7%)"
115C33,115,C,33,base_data,"解答:
正解:a,c,e(正答率 72.1%)"
115C34,115,C,34,base_data,"解答:
正解:b,c,d(正答率 54.5%)"
115C35,115,C,35,base_data,"解答:
正解:a(正答率 98.8%)"
115C36,115,C,36,base_data,"解答:
正解:d(正答率 86.1%)"
115C37,115,C,37,base_data,"解答:
正解:b(正答率 88.7%)"
115C38,115,C,38,base_data,"解答:
正解:d(正答率 99.8%)"
115C39,115,C,39,base_data,"解答:
正解:c(正答率 74.4%)"
115C4,115,C,4,base_data,"解答:
正解:a(正答率 95.2%)"
115C40,115,C,40,base_data,"解答:
正解:e(正答率 99.7%)"
115C41,115,C,41,base_data,"解答:
正解:e(正答率 96.5%)"
115C42,115,C,42,base_data,"解答:
正解:c(正答率 73.6%)"
115C43,115,C,43,base_data,"解答:
正解:a(正答率 94.0%)"
115C44,115,C,44,base_data,"解答:
正解:d(正答率 85.4%)"
115C45,115,C,45,base_data,"解答:
正解:b(正答率 96.2%)"
115C46,115,C,46,base_data,"解答:
正解:c(正答率 75.6%)"
115C47,115,C,47,base_data,"解答:
正解:c(正答率 96.4%)"
115C48,115,C,48,base_data,"解答:
正解:b(正答率 96.3%)"
115C49,115,C,49,base_data,"解答:
正解:c(正答率 99.4%)"
115C5,115,C,5,base_data,"解答:
正解:e(正答率 99.8%)"
115C50,115,C,50,base_data,"解答:
正解:a(正答率 96.5%)"
115C51,115,C,51,base_data,"解答:
正解:b(正答率 83.9%)"
115C52,115,C,52,base_data,"解答:
正解:e(正答率 29.1%)"
115C53,115,C,53,base_data,"解答:
正解:e(正答率 99.1%)"
115C54,115,C,54,base_data,"解答:
正解:a(正答率 85.0%)"
115C55,115,C,55,base_data,"解答:
正解:a,d(正答率 73.7%)"
115C56,115,C,56,base_data,"解答:
正解:a,d(正答率 96.9%)"
115C57,115,C,57,base_data,"解答:
正解:a,c(正答率 92.8%)"
115C58,115,C,58,base_data,"解答:
正解:b,d(正答率 24.5%)"
115C59,115,C,59,base_data,"解答:
正解:b,c,e(正答率 70.3%)"
115C6,115,C,6,base_data,"解答:
正解:b(正答率 30.5%)"
115C60,115,C,60,base_data,"-62 基準値
次の文を読み，60〜62の問いに答えよ．
65歳の男性．食道癌手術後に入院中である．
現病歴：食道癌のため，10日前に胸腔鏡補助下胸部食道全摘術を施行した．術後経口摂取が困難と予想されたため，7日前に右内頸静脈に中心静脈カテーテルを留置して中心静脈栄養を開始した．以後徐々に経口栄養摂取は増加していた．今朝6時のバイタルサインには異常を認めず朝食時も問題なかったが，9時に医師が病室を訪ねると意識障害が認められた．
既往歴：50歳から高血圧症に対して内服加療中．
生活歴：昨年まで事務職．喫煙は20本/日を35年間．飲酒は機会飲酒．
家族歴：両親が胃癌で死亡．
現症：意識レベルはJCSⅡ-10，GCS E3V4M6．身長167cm，体重48kg．体温38.5℃．脈拍114/分，整．血圧88/50mmHg．呼吸数24/分．SpO2 96％（room air）．皮膚は湿潤している．眼瞼結膜は軽度貧血様である．眼球結膜に黄染を認めない．口腔内と咽頭に異常を認めない．中心静脈カテーテル刺入部に異常を認めない．心音と呼吸音とに異常を認めない．手術創に異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．圧痛を認めない．背部の皮膚に異常を認めない．椎体の圧痛と叩打痛は認めず，また肋骨脊柱角の叩打痛は認めない．四肢は軽度の浮腫を認める．
検査所見：尿所見：蛋白（－），糖（－），ケトン体（－），潜血（±），沈渣に白血球を認めない．血液所見：赤血球345万，Hb 10.2g/dL，Ht 31％，白血球17,300（桿状核好中球28％，分葉核好中球47％，好酸球1％，好塩基球0％，単球7％，リンパ球17％），血小板16万，PT-INR 1.1（基準0.9〜1.1）．血液生化学所見：総蛋白6.0g/dL，アルブミン2.5g/dL，総ビリルビン1.0mg/dL，AST 71U/L，ALT 58U/L，LD 402U/L（基準120〜245），ALP 330U/L（基準115〜359），γ-GT 48U/L（基準8〜50），CK 143U/L（基準30〜140），尿素窒素25mg/dL，クレアチニン0.9mg/dL，血糖122mg/dL，Na 134mEq/L，K 4.1mEq/L，Cl 97mEq/L，Ca 8.0mg/dL，P 4.2mg/dL．CRP 24mg/dL．動脈血ガ"
115C61,115,C,61,web_display_added,"115C61
意識障害の原因として最も疑うべきものはどれか。
a Clostridioides difficile腸炎
b カテーテル関連血流感染症
c 化膿性脊椎炎
d 急性腎盂腎炎
e 誤嚥性肺炎
================================================================================
<!--"
115C62,115,C,62,web_display_added,115C62: 画像あり -->
